Individual,Fitness,HealthGain1,HealthGain2,HealthGain3,HealthGain4,HealthGain5,HealthGain6,HealthGain7,HealthGain8,EnemiesBeaten
6257,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6258,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6259,-89.9590909090909,-100,-100,-100,-100,-100,-100,-100,-100,0
6260,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6261,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6262,-86.01818181818182,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-80.0,0
6263,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6264,-52.071833648393195,-100.0,-60.0,-60.0,-70.0,-20.0,-60.0,-30.0,-80.0,0
6265,-69.862,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
6266,-16.14116279069762,-100.0,54.0,-80.0,-70.0,23.800000000000246,-70.0,-10.0,44.800000000000296,3
6267,-43.8094736842105,-90.0,8.0,-70.0,-90.0,-90.0,-100.0,-20.0,26.800000000000253,2
6268,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6269,-86.47999999999996,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6270,-59.14431818181816,-100.0,-40.0,-90.0,-80.0,31.000000000000263,-90.0,-100.0,-80.0,1
6271,-93.11258278145695,-100,-100,-100,-100,-100,-100,-100,-100,0
6272,-52.80750809061487,-100.0,-70.0,-80.0,-100.0,77.20000000000022,-60.0,-100.0,-50.0,1
6273,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6274,-94.40706126687435,-100,-100,-100,-100,-100,-100,-100,-100,0
6275,-47.802097264437656,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6276,-92.73255813953489,-100,-100,-100,-100,-100,-100,-100,-100,0
6277,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6278,-41.56340996168581,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6279,-48.73711340206185,-100.0,-40.0,-30.0,-70.0,-40.0,-90.0,-20.0,-90.0,0
6280,-12.402765957446775,-70.0,76.0,-60.0,-70.0,64.60000000000034,-80.0,-10.0,-30.0,2
6281,-41.08352490421454,-50.0,-70.0,-30.0,-70.0,82.00000000000017,-90.0,-100.0,-70.0,1
6282,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6283,-71.29599999999996,-100.0,-70.0,-70.0,-70.0,-30.79999999999967,-100.0,-80.0,-90.0,0
6284,-42.581455525606444,-100.0,28.0,-70.0,-90.0,38.80000000000028,-100.0,-40.0,-80.0,2
6285,-18.008842729970294,-70.0,70.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
6286,-40.9953002610966,-100.0,76.0,-60.0,-70.0,-20.0,-70.0,-80.0,-80.0,1
6287,-81.73539176626826,-90.0,-80.0,-90.0,-90.0,-80.0,-100.0,-100.0,-80.0,0
6288,-50.271702127659545,-100.0,-40.0,-90.0,-90.0,33.40000000000027,-90.0,-30.0,-90.0,1
6289,-71.76499999999994,-100.0,-100.0,-100.0,-100.0,18.400000000000304,-100.0,-100.0,-74.59999999999977,1
6290,-90.57965451055662,-100,-100,-100,-100,-100,-100,-100,-100,0
6291,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6292,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6293,-90.97504798464492,-100,-100,-100,-100,-100,-100,-100,-100,0
6294,-30.21899999999996,-90.0,48.0,-70.0,-90.0,-1.399999999999892,-100.0,-20.0,28.000000000000256,2
6295,-17.86047477744804,-70.0,70.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
6296,-47.5450822846079,-90.0,-90.0,-30.0,-10.0,64.60000000000034,-100.0,-100.0,-70.0,1
6297,-84.97272727272727,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-90.0,-100.0,0
6298,-41.57107279693485,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6299,-81.28199999999995,-100.0,-100.0,-90.0,-90.0,-41.99999999999967,-100.0,-100.0,-80.0,0
6300,-88.26466666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,0
6301,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6302,-69.83,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
6303,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6304,-44.603009118541,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-70.0,-30.0,-90.0,1
6305,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
6306,-11.006021505376289,-70.0,64.0,-30.0,-70.0,61.000000000000334,-80.0,5.800000000000233,-50.0,3
6307,-54.04175588865096,-100.0,-40.0,-70.0,-70.0,-10.0,-90.0,-40.0,-80.0,0
6308,-41.57107279693485,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6309,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6310,-93.09668874172185,-100,-100,-100,-100,-100,-100,-100,-100,0
6311,-76.95299999999996,-100.0,-100.0,-70.0,-100.0,-42.599999999999675,-100.0,-100.0,-70.0,0
6312,-80.54496402877697,-100.0,-90.0,-100.0,-80.0,-100.0,-100.0,-70.0,-90.0,0
6313,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
6314,-84.76363636363637,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,0
6315,-93.26622516556291,-100,-100,-100,-100,-100,-100,-100,-100,0
6316,-69.83,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
6317,-56.81616541353384,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,-80.0,1
6318,-38.689484536082446,-50.0,-60.0,-40.0,-80.0,76.60000000000022,-90.0,-80.0,-60.0,1
6319,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6320,-89.51515151515152,-100,-100,-100,-100,-100,-100,-100,-100,0
6321,-86.61622516556291,-100.0,-100.0,-80.0,-80.0,-100.0,-90.0,-100.0,-100.0,0
6322,-52.428999999999974,-90.0,-10.0,-70.0,-90.0,-16.999999999999744,-100.0,-20.0,-70.0,0
6323,-41.124226804123694,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6324,-89.6590909090909,-100,-100,-100,-100,-100,-100,-100,-100,0
6325,-75.19067103109656,-100.0,-20.0,-80.0,-100.0,-90.0,-100.0,-100.0,-70.0,0
6326,-23.042581602373858,-70.0,70.0,-50.0,-70.0,52.00000000000031,-90.0,-30.0,-80.0,2
6327,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6328,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6329,-15.712525252525221,-70.0,74.0,4.0,-70.0,57.400000000000325,-70.0,-60.0,-70.0,3
6330,-39.41394557823128,-50.0,-70.0,-20.0,-80.0,82.00000000000017,-90.0,-100.0,-60.0,1
6331,-44.02778115501516,-100.0,-30.0,-80.0,-70.0,33.40000000000027,-90.0,-20.0,-90.0,1
6332,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
6333,-92.98740554156171,-100,-100,-100,-100,-100,-100,-100,-100,0
6334,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6335,-54.10636363636361,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-100.0,29.80000000000026,2
6336,-43.04454545454543,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,28.600000000000257,2
6337,-83.79304635761589,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-70.0,-100.0,0
6338,-69.83,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
6339,-56.48453608247423,-100.0,-40.0,-80.0,-70.0,-40.0,-90.0,-30.0,-90.0,0
6340,-47.72914893617018,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6341,-93.91428571428571,-100,-100,-100,-100,-100,-100,-100,-100,0
6342,-12.397927927927867,-80.0,4.0,-30.0,-50.0,45.4000000000003,-100.0,-30.0,48.400000000000304,3
6343,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6344,-93.08079470198676,-100,-100,-100,-100,-100,-100,-100,-100,0
6345,-50.30399999999997,-100.0,28.0,-80.0,-90.0,-18.799999999999727,-100.0,-20.0,-80.0,1
6346,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6347,-44.077724665391955,-50.0,-70.0,-50.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
6348,-85.45962732919254,-100.0,-90.0,-100.0,-90.0,-100.0,-100.0,-90.0,-90.0,0
6349,-74.45599999999996,-100.0,-90.0,-90.0,-100.0,6.200000000000323,-80.0,-100.0,-100.0,1
6350,-86.64799999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
6351,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6352,-14.680504451038544,-70.0,32.0,-60.0,-70.0,64.60000000000034,-50.0,-10.0,-50.0,2
6353,-48.343130699088114,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6354,-17.18483383685795,-90.0,2.0,-60.0,-60.0,61.600000000000335,-100.0,-10.0,28.600000000000257,3
6355,-86.00575815738964,-100.0,-90.0,-100.0,-90.0,-100.0,-100.0,-90.0,-90.0,0
6356,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6357,-50.658202247190985,-100.0,30.0,-80.0,-90.0,-90.0,-100.0,32.80000000000027,-80.0,2
6358,-93.13907284768212,-100,-100,-100,-100,-100,-100,-100,-100,0
6359,-85.04918032786885,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-70.0,-100.0,0
6360,-42.07270270270265,-90.0,-10.0,-70.0,-90.0,-90.0,-100.0,20.200000000000237,28.600000000000257,2
