Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-43.50913838120104,-80.4132365154198,15.496850691160244,-46.99999999999992,-85.645,15.675186601760123,155.0,258.5475,46.00734581292427
0,-43.50913838120104,-78.93435643336097,16.460907313371877,52.00000000000031,-84.09,25.62604339339182,15.0,250.5375,125.95171135697204
1,-35.325485232067486,-76.9929708867997,17.332330855168504,35.800000000000274,-82.30149999999999,26.45593312945133,15.0,247.4825,117.72811768541108
2,-35.325485232067486,-77.26875525574842,17.206333697770752,28.000000000000256,-82.648,25.318722242640924,15.0,254.35,125.23882185648347
3,-35.325485232067486,-78.075562160434,17.904078924910475,41.80000000000029,-83.38,25.98118165134143,15.0,256.525,134.79662226851235
4,-35.325485232067486,-78.69632764805459,16.46912252913632,43.60000000000029,-83.98400000000001,24.97918621572769,15.0,255.3575,132.49222503132023
5,-35.325485232067486,-73.87905296714821,16.84606021165059,80.80000000000018,-78.93,29.0456692124661,15.0,251.01,137.34545824307406
6,-34.78409266409263,-73.43122939618445,17.202495484237797,53.80000000000032,-78.576,28.306289477782155,15.0,254.135,138.8759582325177
7,-43.028384279475986,-81.84187230133406,14.19702026950611,-10.0,-87.575,18.651256660075212,83.0,282.3975,133.01398232422784
8,-36.90088105726872,-84.57424510775537,11.882592327527448,-10.0,-90.25,15.473768125443783,83.0,262.665,116.29014478879971
9,-36.90088105726872,-77.0108733235223,13.86070722642482,-10.0,-83.375,19.035739413009413,83.0,280.815,129.15965227190728
10,-36.90088105726872,-66.22950176597429,14.62148096887575,42.0,-72.625,23.123135059935105,83.0,330.845,149.810383401819
11,-36.90088105726872,-58.22057317005004,12.111989931820018,30.0,-63.78,24.804668915347367,83.0,354.4475,153.2707644782592
12,-36.90088105726872,-62.47146102112375,13.590857055723736,42.0,-69.0055,24.414853465667164,83.0,372.65,145.6300192268064
13,-36.428866130212114,-61.0395990774028,12.724523021706409,28.000000000000256,-67.04350000000001,23.820831382426608,83.0,381.9625,138.8665225810382
14,-23.78494623655914,-42.7129022046726,10.528730019860033,82.0,-50.555,41.94141121850814,83.0,349.3175,98.41113602509627
15,-22.5991119005328,-48.769473949206805,11.668022411556155,100.0,-57.515499999999975,35.51315755815025,102.0,384.625,167.57797998245474
16,-18.189497206703855,-43.80261276301726,13.473560030077916,100.0,-52.33849999999997,38.65644729860732,117.0,422.0325,225.2045213661351
17,-16.98562874251497,-33.66953777836725,8.261614695299574,100.0,-40.46,51.80104632147888,83.0,324.21,87.70410993790429
18,-33.267317939609235,-48.25561474424525,9.597839180499255,100.0,-57.48,35.9359096169834,83.0,334.0025,165.03754873891577
19,-31.199307958477508,-40.879405480578356,8.682719380612411,100.0,-58.881499999999996,38.030854023411045,83.0,384.86,200.49324277890264
20,-31.199307958477508,-35.24539568388682,5.713448254203212,100.0,-55.15,27.312588672624933,83.0,438.3325,241.43233408918118
21,-25.92140350877193,-33.85141682097696,4.727239565208001,39.40000000000028,-54.537,28.488092793305782,209.0,479.37,263.8785195880862
22,-25.92140350877193,-32.742521745196704,5.833476839813416,-0.5999999999997687,-52.62649999999999,22.97177393563675,136.0,469.335,232.87967445657424
23,-17.798666666666644,-28.42268905112007,4.787979484655886,12.40000000000023,-50.68349999999999,25.422807235826674,142.0,542.56,328.62524461763434
24,-17.798666666666644,-24.184032020786518,3.736924204454519,12.40000000000023,-41.98699999999999,26.686128063096774,136.0,592.9525,367.37621758049335
25,-17.798666666666644,-19.556248095578283,3.40073685691871,7.20000000000023,-48.355499999999985,27.91082800187056,162.0,577.085,350.4121612829669
26,-17.798666666666644,-17.87797333333331,0.7890913701213568,7.20000000000023,-48.11999999999998,26.81738988044887,229.0,511.77,269.2903583494961
27,-17.798666666666644,-26.84395285871762,12.800245404504246,40.600000000000286,-63.875499999999995,28.433167247951843,136.0,473.5625,240.66218251680093
28,-16.039333333333275,-29.16076781461699,12.267773099593164,7.20000000000023,-58.080999999999996,27.145611781648995,136.0,452.4025,229.54327586263554
29,-16.039333333333275,-17.60513999999997,0.5504773790488188,44.800000000000296,-51.95899999999999,26.052100088092736,136.0,495.605,281.2063636815497
