Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-43.72266666666667,-81.995477087442,14.509404905509822,-49.84999999999993,-87.3685,14.597016227640502,165.0,263.5775,46.35906997287586
0,-43.45920745920746,-66.86615147206572,14.098052660562903,40.600000000000286,-72.457,30.846324756768045,15.0,275.1575,108.37021128405166
1,-32.05754010695185,-60.73439821615619,13.010790586655313,43.60000000000029,-66.666,31.548309685306457,15.0,275.235,85.8392379684256
2,-32.05754010695185,-55.90489176612777,13.049299585086338,43.00000000000029,-61.9825,32.22742921410271,15.0,274.2,77.27645178189796
3,-32.05754010695185,-55.96435343668807,11.93527906343373,81.40000000000018,-61.933499999999995,30.8529816670934,15.0,276.7975,91.68741186089834
4,-32.05754010695185,-53.961547680665035,11.12872129286831,40.600000000000286,-60.34,29.791569277230106,15.0,270.575,71.6914874653888
5,-31.458176638176617,-57.58047506952712,13.03771993696738,28.000000000000256,-63.79599999999999,30.373995193257024,15.0,272.6175,87.5390266895286
6,-31.458176638176617,-53.709112244586066,9.91942857114199,29.20000000000026,-60.13749999999999,29.43761528639847,15.0,271.2975,68.04255281623405
7,-31.458176638176617,-51.9497397655506,9.287565125218281,90.40000000000009,-58.299,29.606421583838877,15.0,266.0825,66.257570840999
8,-31.458176638176617,-49.64716084351824,8.192191996204752,80.80000000000018,-56.174,28.542556367641644,15.0,266.865,64.12161706476218
9,-31.458176638176617,-50.33390933003714,8.365933741430984,23.200000000000244,-56.946,27.46924250866777,35.0,264.9175,64.39759850918355
10,-31.458176638176617,-50.50112443102794,8.949489125586371,21.40000000000024,-57.053999999999995,28.149758151714202,15.0,266.9575,67.68719002699108
11,-31.458176638176617,-50.20101027657411,8.20604036110143,21.40000000000024,-56.803999999999995,27.44751690044111,15.0,267.635,67.70485045401105
12,-31.458176638176617,-49.03867618745141,7.132050928486553,80.80000000000018,-55.590999999999994,28.65329508101992,136.0,268.6425,62.678662188578976
13,-31.458176638176617,-48.190707776934396,5.217976299272629,91.00000000000009,-54.72,28.85492678902514,147.0,269.785,61.400397189269064
14,-31.458176638176617,-49.091126515646444,7.342201275110633,21.40000000000024,-55.718999999999994,28.18211203937705,15.0,268.6,62.734719254970756
15,-31.458176638176617,-48.77763301206986,5.94793617326868,21.40000000000024,-55.4485,27.522989440647624,147.0,266.2325,61.237720758940725
16,-28.906610644257675,-48.6135746645315,7.103570560581315,21.40000000000024,-55.27199999999999,27.51957877584612,15.0,267.855,63.73106758089025
17,-28.906610644257675,-47.06197454445235,3.662007218077033,20.200000000000237,-53.793499999999995,26.777095767651883,61.0,267.5925,60.096892130541995
18,-28.906610644257675,-46.83449164778388,4.463734463538837,91.00000000000009,-53.38049999999999,28.45133599235721,163.0,269.8775,58.30010715041612
19,-28.906610644257675,-46.763537767084834,6.168290527839557,91.00000000000009,-53.0635,30.067109401304293,127.0,272.4575,60.942129875399
20,-28.906610644257675,-46.897280392072446,5.76600326615681,79.6000000000002,-53.06199999999999,30.387233437744904,15.0,278.935,72.17683683149325
21,-28.906610644257675,-45.81091496529321,5.258827898009089,91.00000000000009,-51.84299999999999,31.382147010681113,151.0,276.5825,60.08658913393238
22,-28.906610644257675,-46.44286694398947,6.777820917165354,76.60000000000022,-52.66149999999999,31.275196526161142,163.0,279.4025,54.92923168723553
23,-26.974117647058804,-45.77247240330942,5.68737225485771,49.60000000000031,-51.81199999999999,32.153224659433505,147.0,279.395,65.56560817227276
24,-24.631249999999955,-43.701295354518734,5.5932622368247875,41.20000000000029,-50.05999999999998,30.4707958543915,163.0,283.24,53.881095014856555
25,-24.631249999999955,-42.36067942813566,6.608785651690958,91.00000000000009,-48.325999999999965,33.26130670914784,163.0,285.115,52.48420500493458
26,-22.6759139784946,-41.03075516252076,7.524676590360419,100.0,-46.80499999999997,34.87716122335652,145.0,288.76,52.792967334674415
27,-22.6759139784946,-36.40148876647203,8.377123280611238,91.00000000000009,-42.07899999999996,36.848939726944714,154.0,303.64,54.38842156194644
28,-20.055721925133657,-32.51309499659073,8.302239355014578,91.00000000000009,-38.34499999999995,38.047194048970354,163.0,321.17,60.66396047077704
29,-20.055721925133657,-23.651485517343705,3.5754353767401006,49.000000000000306,-29.36499999999994,37.03948939982845,213.0,383.7725,74.94731979030338
