mutation_rate,number_of_crossovers,k_tournament,k_tournament_final_linear_increase_factor,Run 1,Run 2,Run 3,Run 4,Run 5
0.2431251665526191,6.497293521399687,2.876588305322051,5.135953470541621,7.0986046511628516,4.433333333333412,0.6154545454546021,9.626513994911026,12.622763419483181
0.3262862708379671,6.033882250369026,1.2329659170971312,3.104579192345431,0.5708333333334128,-0.3556834532373756,-14.63617332035049,10.991709401709487,10.833636363636405
0.4846459281395553,3.1624601502812575,2.5793656070112863,1.0404738730414735,21.494605009633975,4.494000000000051,8.56588469184899,-3.936224677716311,-14.994971751412365
0.11710360980455192,2.2467564201280763,3.9640553620758774,9.368475484744346,9.761657754010756,5.437500000000078,17.58017937219739,13.032244897959265,4.403333333333439
0.10422104633355041,8.859564322244012,1.613477185836901,7.273202966021048,11.992780847145568,-17.216478873239403,11.320588235294199,8.016199756394728,-0.033734439833921215
0.15687321473232624,3,4,8,-25.578814968814925,7.937207392197207,10.14832599118951,17.554444444444535,-31.79766718506997
0.4553042623812276,10,3,1,-0.6502785515319971,-27.81399999999996,-0.05326860841420533,15.599418886198633,2.9933333333334105
0.01,1,2,10,0.287206266318595,13.086980306345842,-7.289999999999949,-12.011007194244575,5.016076294277987
0.05772914628898315,10,2,1,-12.957923021060202,-0.8066666666665885,4.575000000000056,2.9879620853080926,3.428333333333409
0.39888676926132055,10,2,10,26.42579250720466,6.958333333333415,5.476666666666747,-7.235137614678845,16.499312039312105
