mutation_rate,number_of_crossovers,k_tournament,k_tournament_final_linear_increase_factor,Average Performance
0.054128345043897554,1.7604028682071302,3.6323507240382016,1.7740278643273428,8.306812988769458
0.17751200050346255,4.652782180521947,3.1280419418104426,6.3709817250110135,3.6283769610545695
0.4783899337065587,6.878629782292425,2.6616952525423807,2.757198938459041,1.7982897496464023
0.4371805240816165,7.65856531887069,2.953760427551541,3.807480005517183,2.4312232993311866
0.060474680532588886,6.30916925683222,2.2479763857151696,8.320581398132235,-1.9223327115152156
0.38701060794369047,2.20319760696601,2.068040909604785,5.189590758865645,1.9572077297041748
0.13008547658977765,8.349305099017403,1.133869556124595,6.848575512314751,-4.685932600174861
0.31304082474469314,9.556318999726276,3.8711743503425535,8.154733903170563,0.8180769944493544
0.28909532356873685,4.333334004030251,1.6662022479739358,3.1424997485225687,0.49144488161426025
0.23005034995680565,3.663569721472041,1.4588669482532308,9.278777732886743,2.702491713139466
0.02836885342383562,1,4,1,-8.69082005260858
0.01,1,2,2,-2.5428586860265012
0.01,10,4,1,2.307871685123245
0.22673841517355825,4,3,1,1.9689442114614393
0.01,3,3,4,2.3551539927434257
0.15174369678792865,1,3,4,-3.814734976822322
0.5,9,1,10,-5.398928614201925
0.01,10,1,10,-1.1975150729409156
0.5,5,1,6,1.5423790925462804
0.24379874748760916,8,2,10,5.7734728488737215
