Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-38.7913253012048,-83.00382185770273,13.629292559902154,-43.64999999999994,-88.443,13.675415935173604,162.25,253.0725,35.63157474417879
0,-33.815835777126075,-60.89697844366233,10.05721207089726,43.60000000000029,-66.53349999999999,33.30871774400813,15.0,268.1175,87.85012062456147
1,-30.943037974683545,-48.93609193749268,6.3224702727737085,59.20000000000033,-54.98199999999999,30.631818032888635,17.0,281.405,80.17783967531179
2,-29.849437229437207,-45.91685245929623,6.136870458202108,59.20000000000033,-52.3075,28.99371214160065,15.0,285.31,64.43717017374367
3,-21.534307116104845,-43.65504293514007,7.811560679074836,41.80000000000029,-49.98299999999999,30.16331730761723,155.0,295.555,71.73333935486345
4,-42.46629213483146,-51.40285378315516,7.52098275825075,8.0,-58.255,19.868693339019554,155.0,296.875,55.49562482754835
5,-42.46629213483146,-44.47856916908507,4.741258781938235,-10.0,-51.675,23.268957325157483,157.0,307.8575,36.16513782290896
6,-42.46629213483146,-42.81552005073252,1.6181677460192838,-10.0,-50.075,23.816892639469156,154.0,309.4025,33.324697954370116
7,-38.251989389920425,-61.87490318486669,7.492780321629054,-10.0,-68.25,15.295015527942429,83.0,292.7575,91.01446969438432
8,-28.784441453566604,-55.037548956134316,7.278593696746193,68.0,-61.25899999999999,21.287355848014574,83.0,328.095,112.82409306083518
9,-21.737960954446855,-41.46741496302111,6.445401237584274,77.80000000000021,-47.46349999999998,30.205437718232158,83.0,284.7475,78.20104694791496
10,-5.879999999999924,-24.07414944189295,9.112161539356697,61.600000000000335,-26.60999999999991,44.53611006812347,163.0,327.365,77.82006023513475
11,-35.98453608247423,-45.99346912505358,7.390303186997929,-10.0,-52.1,27.633132287165704,124.0,303.455,90.50938059118513
12,-35.27906976744186,-39.47517602166308,3.7080064414385046,-10.0,-46.15,27.11415681890182,155.0,314.5175,54.8792282539578
13,-35.27906976744186,-37.64344954448129,1.2355712252992033,-20.0,-44.475,27.30795442723603,250.0,316.42,43.05814208718253
14,-33.991189427312776,-35.53985348605216,0.8621659014057591,-20.0,-42.7,28.58688510488682,254.0,311.58,34.85130700562032
15,-33.991189427312776,-35.08588771642249,0.4598652636779642,-20.0,-42.125,28.709482318565062,256.0,315.075,41.96301198674852
16,-33.991189427312776,-34.05558344431922,0.2806870126997737,-20.0,-40.125,29.133046098889146,256.0,339.475,68.51769388267529
17,-33.991189427312776,-33.99118942731277,7.105427357601002e-15,-20.0,-40.0,29.154759474226502,264.0,341.0,69.55932719628619
18,-32.0632183908046,-56.86582900109793,6.489851545664733,26.0,-63.135,18.951563919634705,132.0,321.65,107.48975532579837
19,-32.0632183908046,-51.55912799876539,5.938630487459781,22.0,-57.79,24.33877359276757,155.0,362.3425,111.51275798647436
20,-32.02471482889734,-48.16885421683408,8.117284703464664,38.0,-53.886,27.993238540761947,156.0,370.725,130.0226686966546
21,-28.22693019343984,-40.211103549687934,9.007151907401433,38.0,-45.899499999999996,29.14587448936813,130.0,350.8075,113.81302844468203
22,-12.35770020533881,-20.22585279514102,3.995342061270944,72.0,-18.825,53.03950768059598,83.0,310.2625,42.169759232772485
23,-31.664556962025316,-32.466147479112884,2.7915775002093506,-10.0,-37.95,30.410483389778598,131.0,353.095,98.29718192806953
24,-31.664556962025316,-33.20829791713484,4.75285728023299,4.0,-38.94,30.293834356185414,157.0,350.53,89.70230822002297
25,-31.664556962025316,-31.664556962025312,3.552713678800501e-15,-20.0,-37.5,30.31088913245535,266.0,345.75,77.4350534318922
26,-31.664556962025316,-56.37628130885448,6.849806165268484,0.0,-62.625,19.933875062315405,83.0,329.5475,124.29429891893675
27,-31.664556962025316,-54.93992615816312,6.465758283253146,76.0,-60.775499999999994,25.2618585965087,85.0,346.385,132.97596314748014
28,-31.664556962025316,-53.46954828156162,6.396212158167347,47.2000000000003,-59.702,23.89060057847019,130.0,373.0875,145.68654654342657
29,-31.664556962025316,-54.142043780066864,6.616264189324821,38.0,-60.2525,23.608234659753787,83.0,365.7925,138.15663011144272
